OIA request,Date received,Date replied,Due date,Comments,Extension date
1,2018-05-23,2018-08-02,2018-08-02,EXT (30 DAYS),2018-06-21
2,2018-05-31,2018-07-12,2018-07-13,EXT (10 DAYS),2018-06-26
3,2018-06-06,2018-07-28,2018-07-28,EXT (20 DAYS),2018-07-04
4,2018-06-06,2018-08-02,2018-08-03,,
5,2018-06-06,2018-07-03,2018-07-04,,
6,2018-06-08,2018-07-04,2018-07-06,,
7,2018-06-08,2018-07-03,2018-07-06,,
8,2018-06-09,2018-07-06,2018-07-07,,
9,2018-06-09,2018-07-07,2018-07-07,,
10,2018-06-13,2018-07-07,2018-07-11,,
11,2018-06-13,2018-07-11,2018-07-11,,
12,2018-06-14,2018-07-31,2018-08-02,EXT (15 DAYS),2018-07-11
13,2018-06-14,2018-07-12,2018-07-12,,
14,2018-06-15,2018-07-17,2018-07-19,CLARIFIED,
15,2018-06-15,2018-07-13,2018-07-13,,
16,2018-06-16,2018-07-05,2018-07-14,,
17,2018-06-16,2018-07-03,2018-07-14,,
18,2018-06-16,2018-07-12,2018-07-14,,
19,2018-06-17,2018-07-07,2018-07-14,,
20,2018-06-19,2018-07-04,2018-07-17,,
21,2018-06-19,2018-07-12,2018-07-17,,
22,2018-06-19,2018-07-14,2018-07-17,,
23,2018-06-20,,2018-07-25,WD,
24,2018-06-20,2018-07-18,2018-07-18,,
25,2018-06-21,2018-07-18,2018-07-19,,
26,2018-06-21,2018-07-13,2018-07-19,,
27,2018-06-21,2018-07-19,2018-07-19,,
28,2018-06-21,2018-07-19,2018-07-19,,
29,2018-06-22,2018-07-17,2018-07-20,,
30,2018-06-22,2018-07-05,2018-07-20,,
31,2018-06-22,2018-07-20,2018-07-20,,
32,2018-06-24,2018-07-27,2018-08-07,EXT (11 DAYS),2018-07-18
33,2018-06-26,2018-07-17,2018-07-24,,
34,2018-06-26,2018-07-11,2018-07-24,,
35,2018-06-26,2018-07-03,2018-07-24,,
36,2018-06-27,2018-07-12,2018-07-25,WD,
37,2018-06-27,2018-07-20,2018-07-25,,
38,2018-06-27,2018-07-10,2018-07-25,,
39,2018-06-27,2018-07-20,2018-07-25,,
40,2018-06-28,2018-07-25,2018-07-26,,
41,2018-06-28,2018-07-21,2018-07-26,,
42,2018-06-28,2018-07-14,2018-07-26,,
43,2018-06-28,2018-08-08,2018-08-09,EXT (10 DAYS),2018-07-26
44,2018-06-29,2018-07-27,2018-07-27,,
45,2018-06-29,2018-07-10,2018-07-27,,
46,2018-06-29,2018-07-27,2018-07-27,,
47,2018-06-29,2018-07-06,2018-07-27,,
48,2018-06-30,2018-07-10,2018-07-28,,
49,2018-07-02,2018-07-27,2018-07-28,,
50,2018-07-02,2018-07-12,2018-07-28,,
51,2018-07-03,2018-07-27,2018-07-31,,
52,2018-07-03,2018-07-26,2018-07-31,,
53,2018-07-03,2018-07-10,2018-07-10,,
54,2018-07-03,2018-07-28,2018-07-31,,
55,2018-07-04,2018-08-01,2018-08-01,,
56,2018-07-04,2018-07-25,2018-08-01,,
57,2018-07-04,2018-07-24,2018-08-01,,
58,2018-07-04,2018-07-28,2018-08-01,,
59,2018-07-04,2018-07-05,2018-08-01,,
60,2018-07-04,2018-08-01,2018-08-01,,
61,2018-07-05,2018-07-27,2018-08-02,,
62,2018-07-05,2018-07-31,2018-08-02,,
63,2018-07-05,2018-08-09,2018-08-09,EXT (5 DAYS),2018-07-26
64,2018-07-05,2018-07-21,2018-08-02,,
65,2018-07-05,2018-07-13,2018-08-02,,
66,2018-07-06,2018-07-31,2018-08-03,,
67,2018-07-06,2018-07-31,2018-08-03,,
68,2018-07-07,2018-08-04,2018-08-04,,
69,2018-07-09,2018-07-26,2018-08-04,,
70,2018-07-10,2018-08-04,2018-08-04,,
71,2018-07-10,2018-07-14,2018-08-07,,
72,2018-07-10,2018-08-23,2018-08-23,,
73,2018-07-10,2018-08-02,2018-08-07,,
74,2018-07-10,2018-08-09,2018-08-09,,
75,2018-07-12,2018-08-09,2018-08-09,,
76,2018-07-12,2018-07-27,2018-08-09,,
77,2018-07-13,2018-07-28,2018-08-10,,
78,2018-07-14,2018-08-30,2018-08-25,LATE + EXT (10 DAYS),2018-08-08
79,2018-07-14,2018-08-11,2018-08-11,,
80,2018-07-14,2018-08-01,2018-08-11,,
81,2018-07-15,2018-08-04,2018-08-11,,
82,2018-07-17,2018-08-10,2018-08-14,,
83,2018-07-17,2018-08-11,2018-08-14,,
84,2018-07-17,2018-08-04,2018-08-14,,
85,2018-07-19,2018-07-26,2018-08-16,,
86,2018-07-19,2018-08-10,2018-08-14,,
87,2018-07-20,2018-07-26,2018-08-17,,
88,2018-07-20,2018-08-04,2018-08-17,,
89,2018-07-20,2018-08-15,2018-08-17,,
90,2018-07-20,2018-08-17,2018-08-17,,
91,2018-07-20,2018-08-15,2018-08-17,,
92,2018-07-21,2018-07-26,2018-08-18,,
