Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
7/10/2016,7/11/2016,20/12/2017,,No,No,No,No
28/3/2017,28/7/2017,21/7/2017,,No,No,No,No
3/4/2017,25/8/2017,14/8/2017,,No,No,Yes,No
1/5/2017,1/9/2017,31/8/2017,,No,No,Yes,No
5/5/2017,1/9/2017,31/8/2017,,No,No,Yes,No
10/5/2017,30/8/2017,30/8/2017,8/6/2017,No,No,Yes,No
12/5/2017,10/7/2017,10/7/2017,,No,No,Yes,No
12/5/2017,4/7/2017,3/7/2017,,No,No,Yes,No
12/5/2017,10/7/2017,10/7/2017,12/6/2017,No,No,Yes,No
15/5/2017,11/7/2017,7/7/2017,13/6/2017,Yes,No,No,No
15/5/2017,1/9/2017,28/8/2017,30/11/2017,No,No,Yes,No
18/5/2017,14/7/2017,14/7/2017,16/6/2017,Yes,No,No,No
22/5/2017,20/11/2017,17/10/2017,20/11/2017,No,No,Yes,No
22/5/2017,4/7/2017,4/7/2017,,Yes,No,No,No
22/5/2017,11/7/2017,11/7/2017,,Yes,No,No,No
22/5/2017,1/9/2017,28/8/2017,30/11/2017,No,No,Yes,No
22/5/2017,1/9/2017,28/8/2017,30/11/2017,No,No,Yes,No
23/5/2017,21/6/2017,7/7/2017,,Yes,No,No,No
24/5/2017,11/8/2017,9/8/2017,,No,No,No,No
24/5/2017,21/7/2017,14/7/2017,23/6/2017,No,No,Yes,No
24/5/2017,17/8/2017,17/8/2017,22/6/2017,No,No,Yes,No
29/5/2017,25/7/2017,18/7/2017,27/6/2017,No,No,Yes,No
29/5/2017,17/7/2017,14/7/2017,,No,No,Yes,No
30/5/2017,26/7/2017,7/7/2017,28/6/2017,Yes,No,No,No
30/5/2017,27/7/2017,24/7/2017,,No,No,Yes,No
26/5/2017,24/7/2017,12/7/2017,27/6/2017,No,No,Yes,No
1/6/2017,7/7/2017,18/7/2017,30/6/2017,Yes,No,No,No
1/6/2017,25/7/2017,25/7/2017,29/6/2017,No,No,Yes,No
2/6/2017,3/7/2017,3/7/2017,,No,No,No,No
2/6/2017,3/7/2017,3/7/2017,,No,No,No,No
2/6/2017,3/7/2017,3/7/2017,,No,No,No,Yes
6/6/2017,4/7/2017,4/7/2017,,No,No,No,No
6/6/2017,4/7/2017,4/7/2017,20/6/2017,No,No,No,Yes
6/6/2017,4/7/2017,3/7/2017,,No,No,No,No
6/6/2017,4/7/2017,4/7/2017,,No,No,No,No
7/6/2017,5/7/2017,3/7/2017,,No,No,No,No
7/6/2017,2/8/2017,4/7/2017,,Yes,No,No,No
25/5/2017,17/7/2017,17/7/2017,,No,No,Yes,No
7/6/2017,5/7/2017,5/7/2017,,No,No,No,No
8/6/2017,6/7/2017,17/7/2017,,No,No,No,No
8/6/2017,6/7/2017,4/7/2017,,Yes,No,No,No
8/6/2017,6/7/2017,3/7/2017,,Yes,No,No,No
7/6/2017,5/7/2017,4/7/2017,,No,No,No,Yes
8/6/2017,6/7/2017,5/7/2017,,Yes,No,No,No
7/6/2017,6/7/2017,4/7/2017,,Yes,No,No,No
8/6/2017,31/8/2017,30/8/2017,28/6/2017,Yes,No,No,No
8/6/2017,7/7/2017,6/7/2017,,Yes,No,No,No
7/6/2017,5/7/2017,3/7/2017,,No,No,Yes,No
9/6/2017,7/7/2017,6/7/2017,,No,No,No,Yes
9/6/2017,4/8/2017,4/8/2017,4/5/2017,No,No,No,Yes
9/6/2017,7/7/2017,4/7/2017,,Yes,No,No,No
7/6/2017,5/7/2017,5/7/2017,,Yes,No,No,No
9/6/2017,7/7/2017,4/7/2017,,No,No,No,No
7/6/2017,5/7/2017,3/7/2017,,Yes,No,No,No
