Official Correspondence,Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
Official Information Act,15/5/2017,11/7/2017,7/7/2017,13/6/2017,Yes,No,No,No
Official Information Act,18/5/2017,14/7/2017,14/7/2017,16/6/2017,Yes,No,No,No
Official Information Act,23/5/2017,21/6/2017,7/7/2017,,Yes,No,No,No
Official Information Act,29/5/2017,25/7/2017,18/7/2017,27/6/2017,No,No,Yes,No
Official Information Act,30/5/2017,26/7/2017,7/7/2017,28/6/2017,Yes,No,No,No
Official Information Act,30/5/2017,27/7/2017,24/7/2017,,No,No,Yes,No
Official Information Act,1/6/2017,25/7/2017,25/7/2017,29/6/2017,No,No,Yes,No
Official Information Act,2/6/2017,3/7/2017,3/7/2017,,No,No,No,Yes
Official Information Act,6/6/2017,4/7/2017,4/7/2017,20/6/2017,No,No,No,Yes
Official Information Act,8/6/2017,6/7/2017,3/7/2017,,Yes,No,No,No
Official Information Act,7/6/2017,5/7/2017,4/7/2017,,No,No,No,Yes
Official Information Act,7/6/2017,6/7/2017,4/7/2017,,Yes,No,No,No
Official Information Act,8/6/2017,7/7/2017,6/7/2017,,Yes,No,No,No
Official Information Act,9/6/2017,7/7/2017,6/7/2017,,No,No,No,Yes
Official Information Act,12/6/2017,10/7/2017,6/7/2017,,No,No,No,Yes
Official Information Act,12/6/2017,10/7/2017,6/7/2017,,Yes,No,No,No
Official Information Act,13/6/2017,8/8/2017,18/7/2017,11/7/2017,No,No,Yes,No
Official Information Act,13/6/2017,11/7/2017,6/7/2017,,No,No,Yes,No
Official Information Act,13/6/2017,8/8/2017,24/7/2017,,No,No,Yes,No
Official Information Act,13/6/2017,11/7/2017,11/7/2017,,Yes,No,No,No
Official Information Act,9/6/2017,11/7/2017,4/7/2017,,No,No,No,Yes
Official Information Act,13/6/2017,11/7/2017,6/7/2017,,Yes,No,No,No
Official Information Act,14/6/2017,12/7/2017,6/7/2017,,Yes,No,No,No
Official Information Act,14/6/2017,12/7/2017,11/7/2017,,Yes,No,No,No
