Request,Date Received  ,Due date  ,Date sent,Extension  ,Extension Date,Extension time,Answered on last due day,Answer time
1,12-Dec-17,31-Jan-18,transferred,No,,,no,n/a
2,1-Dec-17,22-Jan-18,19-Dec-17,No,,,no,n/a
3,18 Dec 2017,7-Feb-18,withdrawn,No,,,no,n/a
4,29-Nov-17,18-Jan-18,22-Dec-17,No,,,no,n/a
5,08 Nov 2017,6-Dec-17,6-Dec-17,No,,,Yes,n/a
6,12-Dec-17,31-Jan-18,14-Dec-17,No,,,no,n/a
7,11-Dec-17,30-Jan-18,22-Dec-17,No,,,no,n/a
8,05 Dec 2017,24-Jan-18,withdrawn,No,,,no,n/a
9,09 Dec 2017,29-Jan-18,15-Dec-17,No,,,no,n/a
10,11 Dec 2017,30-Jan-18,withdrawn,No,,,no,n/a
11,6-Dec-17,25-Jan-18,withdrawn,No,,,no,n/a
12,1-Dec-17,22-Jan-18,22-Dec-17,No,,,no,n/a
13,27 Nov 2017,16-Jan-18,21-Dec-17,No,,,no,n/a
14,04 Dec 2017,23-Jan-18,22-Dec-17,No,,,no,n/a
15,05 Dec 2017,24-Jan-18,12-Dec-17,No,,,no,n/a
16,2-Dec-17,22-Dec-17,21-Dec-17,No,,,no,n/a
17,30-Nov-17,19-Jan-18,21-Dec-17,No,,,no,n/a
18,01 Dec 2017,22-Jan-18,19-Dec-17,No,,,no,n/a
19,30-Nov-17,19-Jan-18,12-Dec-17,No,,,no,n/a
20,30-Nov-17,19-Jan-18,7-Dec-17,No,,,no,n/a
21,7-Nov-17,19-Jan-18,18-Dec-17,Yes,5-Dec-17,9:24am,no,n/a
22,1-Dec-17,22-Jan-18,7-Dec-17,No,,,no,n/a
23,30 Nov 2017,19-Jan-18,22-Dec-17,No,,,no,n/a
24,29-Nov-17,18-Jan-18,12-Dec-17,No,,,no,n/a
25,29 Nov 2017,18-Jan-18,20-Dec-17,No,,,no,n/a
26,23 Nov 2017,21-Dec-17,21-Dec-17,No,,,Yes,9:15am
27,23 Nov 2017,21-Dec-17,15-Dec-17,No,,,no,n/a
28,23 Nov 2017,21-Dec-17,20-Dec-17,No,,,no,n/a
29,28-Nov-17,17-Jan-18,12-Dec-17,No,,,no,n/a
30,26-Nov-17,22-Dec-17,13-Dec-17,No,,,no,n/a
31,11-Nov-17,8-Dec-17,4-Dec-17,No,,,no,n/a
32,27 Nov 2017,16-Jan-18,transferred,No,,,no,n/a
33,24 Nov 2017,22-Dec-17,15-Dec-17,No,,,no,n/a
34,24 Nov 2017,22-Dec-17,21-Dec-17,No,,,no,n/a
35,24-Nov-17,22-Dec-17,15-Dec-17,No,,,no,n/a
36,24 Nov 2017,22-Dec-17,13-Dec-17,No,,,no,n/a
37,24-Nov-17,22-Dec-17,21-Dec-17,No,,,no,n/a
38,16-Nov-17,14-Dec-17,13-Dec-17,No,,,no,n/a
39,23 Nov 2017,21-Dec-17,20-Dec-17,No,,,no,n/a
40,22 Nov 2017,20-Dec-17,19-Dec-17,No,,,no,n/a
41,23 Nov 2017,21-Dec-17,withdrawn,No,,,no,n/a
42,06 Nov 2017,4-Dec-17,4-Dec-17,No,,,Yes,4:25pm
43,22-Nov-17,20-Dec-17,28-Nov-17,No,,,no,n/a
44,22 Nov 2017,20-Dec-17,20-Dec-17,No,,,Yes,2:48pm
45,22 Nov 2017,20-Dec-17,withdrawn,No,,,no,
46,22-Nov-17,20-Dec-17,12-Dec-17,No,,,no,
47,22-Nov-17,20-Dec-17,20-Dec-17,No,,,Yes,4.08pm
48,22 Nov 2017,20-Dec-17,5-Dec-17,No,,,no,
49,22 Nov 2017,20-Dec-17,19-Dec-17,No,,,no,
50,21 Nov 2017,19-Dec-17,18-Dec-17,No,,,no,
51,22 Nov 2017,20-Dec-17,19-Dec-17,No,,,no,
52,20 Nov 2017,18-Dec-17,12-Dec-17,No,,,no,
53,20-Nov-17,18-Dec-17,21-Nov-17,No,,,no,
54,21 Nov 2017,19-Dec-17,18-Dec-17,No,,,no,
55,20 Nov 2017,18-Dec-17,19-Dec-17,No,,,no,
56,20-Nov-17,18-Dec-17,15-Dec-17,No,,,no,
57,20 Nov 2017,18-Dec-17,30-Nov-17,No,,,no,
58,17-Nov-17,15-Dec-17,5-Dec-17,No,,,no,
59,17-Nov-17,15-Dec-17,7-Dec-17,No,,,no,
60,17 Nov 2017,16-Jan-18,12-Dec-17,Yes,21-Nov-17,3:07:00 pm,no,
61,16-Nov-17,14-Dec-17,12-Dec-17,No,,,no,
62,17 Nov 2017,15-Dec-17,24-Nov-17,No,,,no,
63,16 Nov 2017,14-Dec-17,14-Dec-17,No,,,Yes,4:29pm
64,16 Nov 2017,14-Dec-17,14-Dec-17,No,,,Yes,1:57pm
65,16 Nov 2017,14-Dec-17,14-Dec-17,No,,,Yes,2:13pm
66,16-Nov-17,14-Dec-17,12-Dec-17,No,,,no,
67,15 Nov 2017,13-Dec-17,23-Nov-17,No,,,no,
68,13-Nov-17,11-Dec-17,11-Dec-17,No,,,Yes,5:50pm
69,15 Nov 2017,13-Dec-17,6-Dec-17,No,,,no,
