,,,,,,
Date Received,Date Answered,If answered on the last day: time sent,If extened; date extension notice sent,If extension notice sent last allowable day; time sent,Duration of extension (working days),Outcome of Request (FR = Full Release; PR = Partial Release; R = Refusal; T = Transfer)
3/07/17,20/07/17,,,,,FR
1/07/17,28/07/17,10:44:00,,,,FR
3/07/17,4/09/17,,,,,FR
3/07/17,26/07/17,,,,,PR
3/07/17,7/07/17,,,,,FR
3/07/17,14/08/17,,,,,FR
4/07/17,19/07/17,,,,,FR
3/07/17,13/07/17,,,,,R
4/07/17,28/07/17,,,,,FR
4/07/17,7/08/17,,,,,FR
3/07/17,17/07/17,,,,,FR
5/07/17,2/08/17,13:13:00,,,,FR
5/07/17,1/08/17,,,,,FR
5/07/17,11/07/17,,,,,T
5/07/17,15/08/17,17:13:00,,,,R
5/07/17,21/07/17,,,,,FR
4/07/17,27/07/17,,,,,FR
6/07/17,1/08/17,,,,,FR
6/07/17,11/07/17,,,,,T
4/07/17,14/08/17,,,,,FR
7/07/17,4/08/17,11:31:00,,,,FR
5/07/17,28/07/17,,,,,FR
3/07/17,11/08/17,,21/07/17,,11,FR
7/07/17,19/07/17,,,,,T
7/07/17,4/08/17,15:40:00,,,,PR
10/07/17,31/07/17,,,,,PR
10/07/17,28/07/17,,,,,FR
7/07/17,18/08/17,,25/07/18,,10,FR
10/07/17,7/08/17,12:17:00,,,,R
10/07/17,23/08/17,,4/08/17,,11,PR
7/07/17,1/08/17,,,,,PR
11/07/17,3/08/17,,,,,PR
5/07/17,31/07/17,,,,,FR
13/07/17,,,,,,
14/07/17,24/07/17,,,,,R
17/07/17,14/08/17,11:38:00,,,,FR
17/07/17,14/08/17,11:38:00,,,,FR
13/07/17,19/07/17,,,,,FR
18/07/17,2/08/17,,,,,T
18/07/17,1/08/17,,,,,R
18/07/17,16/08/17,,,,,FR
18/07/17,15/08/17,09:24:00,,,,FR
19/07/17,8/09/17,,4/08/17,,7,FR
20/07/17,9/08/17,,,,,T
20/07/17,16/08/17,,,,,FR
20/07/17,15/08/17,,,,,R
21/07/17,15/08/17,,,,,FR
21/07/17,10/08/17,,,,,R
24/07/17,15/09/17,,2/08/17,,20,FR
24/07/17,21/08/17,15:41:00,,,,FR
24/07/17,11/08/17,,,,,FR
24/07/17,16/08/17,,,,,FR
17/07/17,8/09/17,,9/08/17,,10,PR
25/07/17,8/08/17,,,,,T
26/07/17,28/08/17,,,,,FR
27/07/17,24/08/17,11:54:00,,,,FR
