Request,Date of Receipt,Date Due,Decision Sent,Extended?
1,04-Jul-17,28-Aug-17,14-Sep-17,Yes
2,04-Jul-17,05-Sep-17,05-Sep-17,Yes
3,04-Jul-17,01-Aug-17,31-Jul-17,No
4,05-Jul-17,14-Sep-17,01-Sep-17,Yes
5,05-Jul-17,02-Aug-17,26-Jul-17,No
6,05-Jul-17,02-Aug-17,27-Jul-17,No
7,05-Jul-17,29-Aug-17,25-Oct-17,Yes
8,05-Jul-17,02-Aug-17,31-Jul-17,No
9,06-Jul-17,03-Aug-17,21-Jul-17,No
10,06-Jul-17,01-Sep-17,01-Sep-17,Yes
11,07-Jul-17,04-Aug-17,07-Jul-17,No
12,07-Jul-17,18-Aug-17,18-Aug-17,No
13,07-Jul-17,04-Aug-17,11-Sep-17,No
14,09-Jul-17,04-Aug-17,04-Aug-17,No
15,09-Jul-17,18-Aug-17,17-Aug-17,Yes
16,09-Jul-17,01-Sep-17,01-Sep-17,Yes
17,10-Jul-17,07-Aug-17,07-Aug-17,No
18,10-Jul-17,28-Aug-17,28-Aug-17,Yes
19,10-Jul-17,14-Aug-17,08-Aug-17,Yes
20,10-Jul-17,07-Aug-17,07-Aug-17,No
21,10-Jul-17,04-Sep-17,17-Jan-18,Yes
22,10-Jul-17,07-Aug-17,05-Oct-17,No
23,12-Jul-17,20-Sep-17,22-Sep-17,Yes
24,13-Jul-17,10-Aug-17,10-Aug-17,No
25,14-Jul-17,04-Sep-17,04-Sep-17,Yes
26,14-Jul-17,11-Aug-17,11-Aug-17,No
27,14-Jul-17,11-Aug-17,24-Jul-17,No
28,17-Jul-17,14-Aug-17,26-Jul-17,No
29,17-Jul-17,29-Aug-17,29-Aug-17,Yes
30,17-Jul-17,14-Aug-17,02-Aug-17,No
31,17-Jul-17,14-Aug-17,02-Aug-17,No
32,18-Jul-17,31-Aug-17,31-Aug-17,Yes
33,18-Jul-17,06-Oct-17,21-Sep-17,Yes
34,18-Jul-17,29-Aug-17,29-Aug-17,Yes
35,20-Jul-17,17-Aug-17,10-Aug-17,No
36,20-Jul-17,17-Aug-17,16-Aug-17,No
37,21-Jul-17,18-Aug-17,18-Aug-17,No
38,24-Jul-17,18-Sep-17,18-Sep-17,Yes
39,24-Jul-17,25-Sep-17,27-Feb-18,Yes
40,24-Jul-17,21-Aug-17,15-Aug-17,No
41,25-Jul-17,22-Aug-17,22-Aug-17,No
42,27-Jul-17,24-Aug-17,17-Aug-17,No
43,27-Jul-17,21-Sep-17,21-Sep-17,Yes
44,27-Jul-17,29-Sep-17,12-Oct-17,Yes
45,28-Jul-17,25-Aug-17,25-Aug-17,No
46,28-Jul-17,18-Sep-17,18-Sep-17,Yes
47,29-Jul-17,25-Aug-17,25-Aug-17,No
48,31-Jul-17,15-Sep-17,08-Sep-17,Yes
49,01-Aug-17,06-Sep-17,18-Sep-17,No
50,01-Aug-17,26-Sep-17,26-Sep-17,Yes
51,01-Aug-17,22-Sep-17,22-Sep-17,No
52,01-Aug-17,29-Aug-17,29-Aug-17,No
53,03-Aug-17,31-Aug-17,31-Aug-17,No
54,03-Aug-17,31-Aug-17,31-Aug-17,No
55,03-Aug-17,31-Aug-17,25-Aug-17,No
56,04-Aug-17,01-Sep-17,01-Sep-17,No
57,04-Aug-17,01-Sep-17,14-Nov-17,No
58,06-Aug-17,06-Oct-17,06-Oct-17,Yes
59,06-Aug-17,01-Sep-17,30-Aug-17,No
60,07-Aug-17,06-Oct-17,06-Oct-17,Yes
61,08-Aug-17,03-Oct-17,29-Sep-17,Yes
62,08-Aug-17,03-Oct-17,03-Oct-17,Yes
63,08-Aug-17,04-Sep-17,04-Sep-17,No
64,08-Aug-17,18-Sep-17,14-Sep-17,Yes
65,08-Aug-17,05-Sep-17,05-Sep-17,No
66,08-Aug-17,13-Sep-17,13-Sep-17,Yes
67,09-Aug-17,06-Sep-17,29-Aug-17,No
68,10-Aug-17,07-Sep-17,07-Sep-17,No
69,10-Aug-17,07-Sep-17,28-Aug-17,No
70,10-Aug-17,08-Nov-17,06-Apr-18,Yes
71,11-Aug-17,08-Sep-17,05-Sep-17,No
72,11-Aug-17,22-Sep-17,20-Sep-17,Yes
73,12-Aug-17,08-Sep-17,31-Aug-17,No
74,14-Aug-17,11-Sep-17,04-Sep-17,No
75,14-Aug-17,18-Sep-17,18-Sep-17,Yes
76,14-Aug-17,21-Sep-17,08-Sep-17,Yes
77,14-Aug-17,12-Oct-17,08-Dec-17,Yes
78,14-Aug-17,12-Oct-17,10-Oct-17,Yes
79,15-Aug-17,12-Sep-17,18-Aug-17,No
80,15-Aug-17,11-Sep-17,05-Sep-17,No
81,15-Aug-17,12-Sep-17,12-Sep-17,No
82,15-Aug-17,12-Oct-17,07-Nov-17,Yes
83,16-Aug-17,21-Sep-17,13-Sep-17,Yes
84,16-Aug-17,11-Oct-17,21-Sep-17,Yes
85,17-Aug-17,14-Sep-17,12-Sep-17,No
86,17-Aug-17,19-Oct-17,24-Oct-17,Yes
87,17-Aug-17,26-Oct-17,15-Dec-17,Yes
88,17-Aug-17,18-Oct-17,18-Oct-17,Yes
89,18-Aug-17,29-Sep-17,29-Sep-17,Yes
90,18-Aug-17,15-Sep-17,14-Sep-17,No
91,18-Aug-17,12-Oct-17,12-Oct-17,Yes
92,20-Aug-17,31-Oct-17,06-Apr-18,Yes
93,21-Aug-17,18-Sep-17,18-Sep-17,No
94,21-Aug-17,18-Sep-17,18-Sep-17,No
95,21-Aug-17,18-Sep-17,18-Sep-17,No
96,21-Aug-17,29-Sep-17,29-Sep-17,Yes
97,21-Aug-17,24-Oct-17,24-Oct-17,Yes
98,22-Aug-17,19-Sep-17,08-Sep-17,No
99,22-Aug-17,19-Sep-17,18-Sep-17,No
100,22-Aug-17,31-Oct-17,31-Oct-17,Yes
101,22-Aug-17,19-Oct-17,07-Nov-17,Yes
102,23-Aug-17,20-Sep-17,20-Sep-17,No
103,23-Aug-17,20-Sep-17,19-Sep-17,No
104,23-Aug-17,20-Sep-17,20-Sep-17,No
105,23-Aug-17,20-Sep-17,08-Sep-17,No
106,23-Aug-17,26-Oct-17,26-Oct-17,Yes
107,23-Aug-17,11-Oct-17,11-Oct-17,No
108,24-Aug-17,21-Sep-17,20-Sep-17,No
109,24-Aug-17,21-Sep-17,20-Sep-17,No
110,24-Aug-17,23-Oct-17,20-Oct-17,Yes
111,24-Aug-17,08-Nov-17,08-Nov-17,No
112,24-Aug-17,25-Oct-17,25-Oct-17,Yes
113,25-Aug-17,22-Sep-17,22-Sep-17,No
114,27-Aug-17,23-Oct-17,02-Oct-17,Yes
115,28-Aug-17,25-Sep-17,22-Sep-17,No
116,28-Aug-17,25-Sep-17,22-Sep-17,No
117,28-Aug-17,25-Sep-17,21-Sep-17,No
118,28-Aug-17,07-Nov-17,07-Nov-17,Yes
119,28-Aug-17,10-Oct-17,10-Oct-17,Yes
120,29-Aug-17,24-Oct-17,24-Oct-17,Yes
121,29-Aug-17,03-Oct-17,03-Oct-17,No
