"All requests for information made to the Ministry that were logged as Official Information requests for the period from 1 July 2017 to 30 December 2017, including the date received, date response was sent and the date the response was extended to if applicable.",,,,,,
,,,,,,
Number,Date Received,Date Due to Requestor,Extended Date Due to Requestor,Date Decision Communicated,Revised due date following decision,Date response sent to Requestor
1,21/8/2017,nil,nil,nil,nil,Transferred
2,28/9/2017,nil,nil,nil,nil,Transferred
3,21/9/2017,nil,nil,nil,nil,Transferred
4,18/12/2017,7/2/2018,nil,nil,nil,Transferred
5,13/10/2017,13/11/2017,nil,nil,nil,Transferred
6,10/7/2017,7/8/2017,nil,nil,nil,19/7/2017
7,28/7/2017,25/8/2017,nil,nil,nil,4/8/2017
8,18/7/2017,15/8/2017,11/9/2017,7/8/2017,11/9/2017,7/9/2017
9,24/8/2017,21/9/2017,nil,20/9/2017,29/9/2017,29/9/2017
10,27/7/2017,24/8/2017,nil,nil,nil,24/8/2017
11,5/10/2017,3/11/2017,nil,nil,nil,12/10/2017
12,24/10/2017,21/11/2017,8/12/2017,nil,nil,4/12/2017
13,13/11/2017,11/12/2017,nil,11/12/2017,22/12/2017,21/12/2017
14,2/8/2017,30/8/2017,20/9/2017,20/9/2017,29/9/2017,9/10/2017
15,10/7/2017,7/8/2017,nil,7/8/2017,4/9/2017,25/8/2017
16,7/9/2017,5/10/2017,nil,28/9/2017,12/10/2017,6/10/2017
17,23/8/2017,20/9/2017,nil,20/9/2017,28/9/2017,21/9/2017
18,15/12/2017,5/2/2018,nil,nil,nil,30/1/2018
19,28/7/2017,25/8/2017,nil,25/8/2017,7/9/2017,7/9/2017
20,16/11/2017,14/12/2017,nil,nil,nil,5/12/2017
21,30/8/2017,27/9/2017,nil,27/9/2017,19/10/2017,19/10/2017
22,24/11/2017,22/12/2017,7/2/2018,7/2/2018,14/2/2018,13/2/2018
23,24/8/2017,21/9/2017,12/10/2017,12/10/2017,nil,26/10/2017
24,6/11/2017,4/12/2017,13/12/2017,13/12/2017,22/12/2017,10/1/2018
25,28/8/2017,25/9/2017,25/10/2017,nil,nil,25/10/2017
26,2/8/2017,30/8/2017,4/10/2017,4/10/2017,27/10/2017,9/11/2017
27,19/7/2017,16/8/2017,nil,nil,nil,10/8/2017
28,20/10/2017,20/11/2017,18/12/2017,nil,nil,Request withdrawn
29,20/11/2017,18/12/2017,nil,nil,nil,22/11/2017
30,4/7/2017,1/8/2017,nil,nil,nil,31/7/2017
