Month,Total Pursuits,Abandoned Pursuits,Injury Pursuits,Offenders Injured,Police Injured,Third Party Injured,Fatal Pursuits,Offender Deaths,Third Party Deaths
Jan-12,209,97,21,2,,,,,
Feb-12,203,90,27,5,,5,,,
Mar-12,204,113,34,4,2,1,,,
Apr-12,209,105,41,9,2,2,,,
May-12,190,93,30,7,,,,,
Jun-12,160,74,35,4,,2,,,
Jul-12,161,65,28,10,1,1,1,3,
Aug-12,172,84,26,7,,,,,
Sep-12,169,77,19,4,,1,,,
Oct-12,204,104,25,4,,,,,
Nov-12,194,95,34,4,,1,1,1,
Dec-12,235,119,33,13,1,,,,
Jan-13,179,83,32,7,3,2,,,
Feb-13,183,97,34,11,1,,2,2,
Mar-13,222,117,42,12,,,,,
Apr-13,161,83,32,10,,4,,,
May-13,177,92,40,8,1,3,1,4,
Jun-13,172,88,31,7,,1,,,
Jul-13,182,100,35,4,1,1,,,
Aug-13,224,119,41,7,,,,,
Sep-13,201,103,40,8,,1,,,
Oct-13,217,115,41,11,,1,,,
Nov-13,205,114,28,11,2,,1,1,
Dec-13,185,114,22,8,,,,,
Jan-14,184,101,26,9,,,1,1,
Feb-14,145,85,17,8,1,8,,,
Mar-14,219,116,24,1,,,,,
Apr-14,196,117,35,8,3,1,,,
May-14,207,119,29,8,2,,,,
Jun-14,199,101,38,10,1,6,,,
Jul-14,202,115,26,7,,,,,
Aug-14,197,101,38,15,1,3,1,1,
Sep-14,189,106,35,6,,1,,,
Oct-14,239,136,44,3,5,,,,
Nov-14,201,99,38,5,5,4,,,
Dec-14,214,118,34,5,2,1,,,
Jan-15,257,132,46,14,2,2,,,
Feb-15,209,113,34,5,,,,,
Mar-15,252,144,36,3,2,4,,,
Apr-15,257,147,51,15,1,,,,
May-15,254,132,38,8,,3,1,1,
Jun-15,261,142,40,11,,1,,,
Jul-15,258,144,43,6,,,1,1,
Aug-15,257,133,55,11,,,,,
Sep-15,249,119,35,6,1,1,,,
Oct-15,257,137,36,7,1,1,,,
Nov-15,233,115,48,16,1,1,,,
Dec-15,253,121,40,20,4,3,,,
Jan-16,268,149,55,12,,1,2,3,
Feb-16,235,132,34,5,,1,,,
Mar-16,282,158,48,10,,3,,,
Apr-16,248,143,36,9,2,3,,,
May-16,257,137,39,13,1,,1,1,
Jun-16,264,158,46,7,2,,,,
Jul-16,266,155,33,7,2,,,,
Aug-16,299,159,56,10,2,1,1,1,
Sep-16,273,125,50,10,,1,1,1,
Oct-16,295,169,56,4,1,,,,
Nov-16,316,163,70,31,1,1,,,
Dec-16,321,169,61,28,2,8,,,
Jan-17,321,180,54,16,3,5,1,1,
Feb-17,253,144,41,4,2,1,,,
Mar-17,302,169,49,9,3,,1,1,
Apr-17,357,195,65,6,3,1,1,1,
May-17,326,178,55,10,,1,1,1,
Jun-17,300,179,47,2,1,1,,,
Jul-17,312,161,48,10,1,1,2,2,
Aug-17,330,182,52,10,4,,2,2,
Sep-17,329,178,64,19,2,2,2,2,
Oct-17,311,168,52,9,1,1,2,3,
Nov-17,309,174,49,5,2,1,,,
Dec-17,346,197,50,19,1,2,,,
Jan-18,313,194,53,2,3,2,,,
Feb-18,273,168,37,5,1,1,,,
Mar-18,315,196,42,5,,2,1,2,1
