,Auckland City,Bay Of Plenty,Canterbury,Central,Counties/Manukau,Eastern,Northland,Southern,Tasman,Waikato,Waitemata,Wellington,Sum:
Jan-09,10,18,10,23,29,10,11,5,7,16,30,12,181
Feb-09,14,6,12,9,25,13,13,12,7,15,19,12,157
Mar-09,26,15,15,27,22,8,4,15,5,18,27,19,201
Apr-09,22,14,22,20,25,9,10,7,9,16,21,19,194
May-09,24,20,15,25,33,12,10,9,4,17,26,26,221
Jun-09,17,17,21,15,29,6,7,16,9,21,29,16,203
Jul-09,27,23,23,12,32,8,7,6,5,14,18,15,190
Aug-09,19,15,17,21,26,17,15,12,6,23,26,15,212
Sep-09,21,19,20,17,40,13,13,14,9,16,21,12,215
Oct-09,15,18,26,27,22,11,9,11,5,13,14,17,188
Nov-09,18,16,22,15,22,7,12,12,4,12,26,18,184
Dec-09,14,27,24,19,25,5,14,5,8,18,23,19,201
Jan-10,19,22,22,16,28,11,18,9,9,15,17,20,206
Feb-10,19,12,19,11,21,7,8,8,7,15,15,11,153
Mar-10,13,15,19,18,31,14,10,8,4,10,20,12,174
Apr-10,27,7,20,21,22,7,14,6,3,11,22,19,179
May-10,19,17,25,15,21,13,8,12,1,16,19,10,176
Jun-10,16,13,19,12,23,7,16,14,4,16,19,11,170
Jul-10,14,15,20,24,25,10,7,11,7,16,23,16,188
Aug-10,20,6,17,22,20,8,10,6,6,19,16,12,162
Sep-10,16,10,10,27,29,9,17,10,8,22,20,19,197
Oct-10,22,21,20,27,31,14,10,9,8,22,23,14,221
Nov-10,21,11,7,18,25,10,12,13,3,22,22,18,182
Dec-10,9,17,25,25,20,12,15,6,3,24,20,11,187
Jan-11,19,13,22,14,17,8,8,10,2,10,22,15,160
Feb-11,11,10,10,12,31,12,6,4,6,19,22,14,157
Mar-11,17,7,18,22,28,11,8,8,5,17,25,23,189
Apr-11,13,11,24,22,28,12,11,8,7,18,23,18,195
May-11,21,16,32,16,22,6,10,14,8,13,38,20,216
Jun-11,24,13,20,10,37,6,11,7,6,10,29,9,182
Jul-11,17,24,19,24,30,9,9,11,7,13,16,17,196
Aug-11,21,21,22,17,35,7,8,14,10,21,45,13,234
Sep-11,19,16,24,15,31,9,5,16,6,14,27,16,198
Oct-11,15,10,33,10,20,8,14,9,3,27,29,22,200
Nov-11,21,16,30,22,21,10,5,9,2,20,15,17,188
Dec-11,22,12,33,14,27,13,12,10,1,16,30,23,213
Jan-12,20,16,16,15,34,4,4,15,6,24,33,22,209
Feb-12,24,18,19,17,33,11,8,5,7,20,28,13,203
Mar-12,19,21,12,20,32,9,6,9,6,21,29,20,204
Apr-12,18,20,19,27,23,8,18,8,3,21,23,21,209
May-12,11,16,14,28,24,7,6,11,4,20,35,14,190
Jun-12,15,14,16,15,22,12,12,5,5,12,18,14,160
Jul-12,11,14,17,20,18,8,7,6,7,16,19,18,161
Aug-12,16,14,17,22,16,7,13,7,4,9,22,25,172
Sep-12,7,11,21,20,24,16,8,9,6,12,21,14,169
Oct-12,14,16,23,21,25,14,9,12,6,15,27,22,204
Nov-12,18,24,25,23,31,8,7,14,2,16,15,11,194
Dec-12,25,13,26,13,27,12,13,10,10,26,28,32,235
Jan-13,21,17,21,8,22,13,8,6,5,11,18,29,179
Feb-13,16,19,22,21,28,10,8,9,7,12,16,15,183
Mar-13,31,24,14,26,30,4,10,8,7,17,32,19,222
Apr-13,15,18,12,19,23,11,10,6,3,9,16,19,161
May-13,18,13,16,21,30,10,8,6,6,18,16,15,177
Jun-13,11,21,18,17,39,6,8,3,7,12,18,12,172
Jul-13,15,19,15,24,29,11,5,6,7,19,17,15,182
Aug-13,16,35,27,16,30,6,11,12,2,23,30,16,224
Sep-13,16,18,14,26,35,12,9,5,1,26,20,19,201
Oct-13,21,23,20,21,30,4,6,13,5,24,26,24,217
Nov-13,18,25,19,16,25,11,8,8,9,30,21,15,205
Dec-13,15,19,21,26,27,2,12,4,5,18,16,20,185
Jan-14,17,11,19,14,36,8,10,6,5,22,21,15,184
Feb-14,12,11,16,19,17,7,8,12,2,14,12,15,145
Mar-14,21,19,25,29,28,7,5,14,5,17,23,26,219
Apr-14,27,13,17,21,32,7,15,8,10,11,18,17,196
May-14,23,20,12,14,37,8,14,10,4,22,12,31,207
Jun-14,21,19,14,20,37,7,7,9,4,19,20,22,199
Jul-14,13,15,23,26,33,17,12,7,3,13,22,18,202
Aug-14,14,21,19,26,24,10,10,6,9,17,22,19,197
Sep-14,25,19,13,24,38,8,5,10,3,17,8,19,189
Oct-14,17,16,41,29,27,13,15,10,6,19,19,27,239
Nov-14,22,24,21,22,18,9,7,5,5,15,17,36,201
Dec-14,20,21,27,26,25,12,11,10,4,21,17,20,214
Jan-15,22,28,33,18,43,13,18,5,6,23,32,16,257
Feb-15,24,16,21,19,37,13,7,7,2,12,26,25,209
Mar-15,40,17,24,20,35,9,16,9,7,19,35,21,252
Apr-15,22,27,28,17,58,9,15,9,4,23,29,16,257
May-15,27,24,24,24,44,8,14,12,6,21,28,22,254
Jun-15,31,23,41,20,41,10,14,12,3,21,20,25,261
Jul-15,19,35,25,29,45,6,8,9,3,39,19,21,258
Aug-15,23,27,19,23,41,13,19,12,5,28,20,27,257
Sep-15,18,35,19,23,37,22,8,14,4,27,23,19,249
Oct-15,23,34,29,27,33,13,11,15,10,18,22,22,257
Nov-15,24,27,25,15,52,11,20,8,2,19,10,20,233
Dec-15,27,23,21,29,33,14,19,11,10,11,27,28,253
Jan-16,18,18,20,22,45,18,18,14,7,23,35,29,267
Feb-16,20,13,25,30,34,13,17,2,11,26,14,30,235
Mar-16,33,27,30,26,45,15,18,10,  -   ,23,35,20,282
Apr-16,25,23,30,20,42,10,17,4,4,21,28,24,248
May-16,19,25,27,36,40,16,8,10,5,19,30,22,257
Jun-16,30,27,28,35,29,13,14,14,8,17,23,26,264
Jul-16,13,26,24,29,39,15,15,7,9,24,37,28,266
Aug-16,38,36,21,31,47,15,21,11,6,24,29,20,299
Sep-16,32,26,22,30,43,11,18,13,8,16,27,27,273
Oct-16,22,36,31,25,46,24,20,9,6,25,27,24,295
Nov-16,19,32,37,39,48,19,10,12,9,29,20,42,316
Dec-16,26,38,33,26,41,15,20,12,12,34,35,29,321
Jan-17,32,30,25,35,45,21,21,17,8,30,23,34,321
Feb-17,15,29,21,23,33,16,15,8,9,34,14,36,253
Mar-17,20,33,21,27,58,15,14,11,5,39,19,40,302
Apr-17,30,36,30,27,58,21,20,11,14,38,34,38,357
May-17,21,35,26,25,70,15,17,9,10,33,25,40,326
Jun-17,20,25,47,32,47,13,12,12,7,29,26,30,300
Jul-17,36,25,34,29,51,30,10,2,10,24,23,38,312
Aug-17,23,28,35,46,55,15,7,12,8,33,27,41,330
Sep-17,21,32,50,33,43,9,15,22,5,33,34,32,329
Oct-17,21,35,33,30,43,21,19,20,5,27,18,39,311
Nov-17,19,38,39,25,51,18,14,12,10,31,22,30,309
Dec-17,32,32,35,35,64,23,18,17,8,25,20,38,347
