Year,TOR event location types,Location: Residence,"Location: Street, highway, motorway",Location: Outdoor public area,Location: Police premises,Location: Police vehicle,Location: Commercial Property,Location: Non-Police vehicle,Location: Gang premises,Location: Other,Subject Known,Age Group,Subject Gender,Ethnicity recode,RF: History of carrying weapons,RF: History of violence against police,RF: History of violence against non-police,RF: Alcohol,RF: Drugs,RF: 1M,RF: Distressed (Not 1M),RF: Suicidal,RF: Excited Delirium,RF: Medical,RF: Other,Subject Armed,RECODE: Subject Armed,RECODE: Subject Weapon,Tactics Used,Overall Behaviour - Threaten Police,Overall Behaviour - Threaten Non-Police,Overall Behaviour - Violence Towards Police,Overall Behaviour - Violence Towards Non-Police,Overall Behaviour - Weapon Used Against Police,Overall Behaviour - Spit blood/saliva at Police,Overall Behaviour - Other,Communication Usage count,Communication: PCA,Communication: Tactic Location Type,Communication: Tactic Effect,HC-Restraints: Usage Count,HC: Not reportable,HCwP&R Usage Count,Spithood Usage Count,HC-Restraints 1: PCA,HC-Restraints 1: Handcuff Type,HC-Restraints 1: Technique,Recode HC-R 1 type,HC-Restraints 1: Tactic Location Type,HC-Restraints 1: Tactic Effect,HC-Restraints 2: PCA,HC-Restraints 2: HandcuffType,HC-Restraints 2: Technique,Recode HC-R 2 type,HC-Restraints 2: Tactic Location Type,HC-Restraints 2: Tactic Effect,HC-Restraints 3: PCA,HC-Restraints 3: HandcuffType,HC-Restraints 3: Technique,Recode HC-R 3 type,HC-Restraints 3: Tactic Location Type,HC-Restraints 3: Tactic Effect,OC Spray: Usage Count,OC Spray 1: PCA,OC Spray 1: Spray Duration,OC Spray 1: Body Location,OC Spray 1: Tactic Location Type,OC Spray 1: Environmental Conditions,OC Spray 1: Tactic Effect,OC Spray 2: PCA,OC Spray 2: Spray Duration,OC Spray 2: Body Location,OC Spray 2: Tactic Location Type,OC Spray 2: Environmental Conditions,OC Spray 2: Tactic Effect,OC Spray 3: PCA,OC Spray 3: Spray Duration,OC Spray 3: Body Location,OC Spray 3: Tactic Location Type,OC Spray 3: Environmental Conditions,OC Spray 3: Tactic Effect,Empty Hand: Usage Count,Empty Hand 1: PCA,Empty Hand 1: Tactic Location Type,Empty Hand 1: Tactic Effect,Empty Hand 2: PCA,Empty Hand 2: Tactic Location Type,Empty Hand 2: Tactic Effect,Empty Hand 3: PCA,Empty Hand 3: Tactic Location Type,Empty Hand 3: Tactic Effect,Baton: Usage Count,Baton 1: PCA,Baton 1: Type,Baton 1: Method,Baton 1: Strikes,Baton 1: Tactic Location Type,Baton 1: Tactic Effect,Dog: Usage Count,Dog 1: PCA,Dog 1: Subject Bitten,Dog 1: Tactic Location Type,Dog 1: Tactic Effect,Dog 2: PCA,Dog 2: Subject Bitten,Dog 2: Tactic Location Type,Dog 2: Tactic Effect,Taser: Usage Count,TASER Deployments,Show or Discharge?,Presentation,Laser painting,Arcing,No of Discharge w Probes,No of Contact Stuns,Highest Deployment mode,Total Cycles,Taser 1: PCA,Taser 1: Type,Taser 1: Deployment Method,Taser 1: Number of dischagres with probes,Taser 1: Number of contact stuns,Taser 1: Num of 5 second cycles,Taser 1: Body Location,Taser 1: Activation Duration,Taser 1: Tactic Location Type,Taser 1: Environmental Conditions,Taser 1: Subject Restrained?,Taser 1: Tactic Effect,Taser 2: PCA,Taser 2: Type,Taser 2: Deployment Method,Taser 2: Number of dischagres with probes,Taser 2: Number of contact stuns,Taser 2: Num of 5 second cycles,Taser 2: Body Location,Taser 2: Activation Duration,Taser 2: Tactic Location Type,Taser 2: Environmental Conditions,Taser 2: Subject Restrained?,Taser 2: Tactic Effect,Taser 3: PCA,Taser 3: Type,Taser 3: Deployment Method,Taser 3: Number of dischagres with probes,Taser 3: Number of contact stuns,Taser 3: Num of 5 second cycles,Taser 3: Body Location,Taser 3: Activation Duration,Taser 3: Tactic Location Type,Taser 3: Environmental Conditions,Taser 3: Subject Restrained?,Taser 3: Tactic Effect,Firearm: Usage Count,All Firearm deployments,Highest Firerm Deployment,Firearm 1: PCA,Firearm 1: Firearm Type,Firearm 1: Deployment Method,Firearm 1: Num Shots Fired,Firearm 1: Body Location,Firearm 1: Tactic Location Type,Firearm 1: Capable of Threat,Firearm 1: Tactic Effect,Firearm 2: PCA,Firearm 2: Firearm Type,Firearm 2: Deployment Method,Firearm 2: Num Shots Fired,Firearm 2: Body Location,Firearm 2: Tactic Location Type,Firearm 2: Capable of Threat,Firearm 2: Tactic Effect,Other: Usage Count,Other 1: Tactic,Other 1: PCA,Other 1: Tactic Location Type,Other 1: Tactic Effect,Recode: Incident Type,Total Subject Injuries,Subject Injury 1: Cause,Subject Injury 1: Site,Subject Injury 1: Type,Subject Injury 1: Treatment Required,Subject Injury 1: Treatment Received,Subject Injury 2: Cause,Subject Injury 2: Site,Subject Injury 2: Type,Subject Injury 2: Treatment Required,Subject Injury 2: Treatment Received,Subject Injury 3: Cause,Subject Injury 3: Site,Subject Injury 3: Type,Subject Injury 3: Treatment Required,Subject Injury 3: Treatment Received,Staff Injury,Staff Injury: Area(s),Staff Injury: Outcome,Staff Injury: Cause,Staff Injury By Subject: Behaviour,All PCAs,Highest PCA,Charge Categories,1000,2000,3000,4000,5000,6000,A-W Traffic,Total Charge Categories
2018,Street/Highway/MotorwayStreet/Highway/Motorway,,1,,,,,,,,Yes,17-20,Female,Māori,,,,1,,,,,,,,No Weapon,No,,"Empty Hand
OC Spray
",,,,1,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,1,"LEye, REye",Street/Highway/Motorway,"Good visibility
Dry ground
Calm
Moving obstacles
Potential cross-fire/contamination",Delayed but sufficient,,,,,,,,,,,,,1,Assaultive,Street/Highway/Motorway,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,Nil,0,0,0,0,0,0,0,0
2018,OtherOther,,,,,,,,,1,Yes,21-30,Male,Pacific peoples,,,,1,,,,,,,,No Weapon,No,,"Communication
Baton
",1,1,1,1,,,1,1,Assaultive,Other,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,expandable,Open Mode 2 Handed Strike,2,Other,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,3500,0,0,1,0,0,0,0,1
2018,Police CellPolice Cell,,,,1,,,,,,Yes,31-40,Male,European,,1,1,,1,,,1,,,,No Weapon,No,,"Communication
Handcuffs-Restraints
",1,,1,,,,1,1,Passive Resistant,Police Cell,Nil,1,,1,0,Assaultive,Restraint Chair,,Restraint Chair,Police Cell,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x - threaten/attempt suicide,0,,,,,,,,,,,,,,,,Yes,Face,At Scene,Subject,Punch/Strike Police,Passive ResistantAssaultive,Assaultive,"1400, 1600",2,0,0,0,0,0,0,2
2018,Outdoor public areaOutdoor public areaOther,,,1,,,,,,1,Yes,17-20,Male,European,,,,1,1,,,,,1,,No Weapon,No,,"Communication
Handcuffs-Restraints
Handcuffs-Restraints
",,,1,,,1,1,1,Assaultive,Outdoor public area,Nil,2,,2,0,Assaultive,Metal handcuffs,with pain compliance,PC - Metal handcuffs,Outdoor public area,Nil,Assaultive,Restraint chair,,Restraint chair,Other,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1k - drunk custody/detox centre incident,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultiveAssaultive,Assaultive,Nil,0,0,0,0,0,0,0,0
2018,ResidenceResidenceResidenceResidence,1,,,,,,,,,No,,Male,Pacific peoples,,,,1,,,,,,,,No Weapon,No,,"Communication
Handcuffs-Restraints
Handcuffs-Restraints
Empty Hand
",1,,,,,1,1,1,Assaultive,Residence,Nil,2,,1,1,Assaultive,Metal handcuffs,without pain compliance,No PC - Metal handcuffs,Residence,Nil,Assaultive,Spitting hood,without pain compliance,Spitting hood,Residence,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Residence,Immediate but not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1k - drunk custody/detox centre incident,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultiveAssaultiveAssaultive,Assaultive,3500,0,0,1,0,0,0,0,1
2018,Street/Highway/MotorwayOther,,1,,,,,,,1,Yes,51-60,Male,Māori,,,,,,,,,,,1,No Weapon,No,,"Communication
Empty Hand
",,,,,,,1,1,Active Resistant,Street/Highway/Motorway,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Other,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1u - traffic incident,0,,,,,,,,,,,,,,,,,,,,,Active ResistantActive Resistant,Active Resistant,A-W Traffic Offences,0,0,0,0,0,0,1,1
2018,Police Receiving AreaPolice Cell,,,,1,,,,,,Yes,31-40,Male,Māori,,1,1,,,,,,,,,No Weapon,No,,"Communication
OC Spray
",1,,,,,,1,1,Assaultive,Police Receiving Area,Nil,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,1,"Forehead, LEyeBrow, REyeBrow, LEye, REye",Police Cell,"Good visibility
Dry ground",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1z - other incident,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,Nil,0,0,0,0,0,0,0,0
2018,Outdoor public areaOutdoor public areaOutdoor public areaOutdoor public area,,,1,,,,,,,Yes,31-40,Male,European,,,,1,,,,,,,,No Weapon,No,,"Communication
Empty Hand
OC Spray
Handcuffs-Restraints
",,1,1,1,,,,1,Assaultive,Outdoor public area,Nil,1,Y,,0,Assaultive,Metal handcuffs,without pain compliance,No PC - Metal handcuffs,Outdoor public area,Delayed and not sufficient,,,,,,,,,,,,,1,Assaultive,1,Forehead,Outdoor public area,"Good visibility
Calm",Delayed but sufficient,,,,,,,,,,,,,1,Assaultive,Outdoor public area,Delayed and not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultiveAssaultiveAssaultive,Assaultive,"1500, 3500",1,0,1,0,0,0,0,2
2018,Street/Highway/Motorway,,1,,,,,,,,Yes,31-40,Male,Māori,1,,,1,,,,,,,,No Weapon,No,,"OC Spray
",,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,3,"Forehead, LEye, REye, Nose, Chin",Street/Highway/Motorway,"Dry ground
Calm
Moving obstacles
Potential cross-fire/contamination",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,Assaultive,Assaultive,3500,0,0,1,0,0,0,0,1
2018,ResidenceResidence,1,,,,,,,,,Yes,41-50,Female,Māori,,,,1,,,,,,,,Had Weapon and Believed,Yes,Bludgeoning weapon,"Communication
OC Spray
",1,1,,,1,,,1,Assaultive,Residence,Nil,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,1,"LEyeBrow, REyeBrow, LEye, REye, LCheek, RCheek, Nose",Residence,"Good visibility
Calm",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d - domestic dispute incident,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,1500,1,0,0,0,0,0,0,1
